instance_id,repo,pr_number,base_commit,gold_tests_ok,mut_unwrap_tests_ok,mut_unsafe_tests_ok,gold_fmt_ok,mut_unwrap_fmt_ok,mut_unsafe_fmt_ok,gold_clippy_ok,mut_unwrap_clippy_ok,mut_unsafe_clippy_ok,gold_unwrap_count,mut_unwrap_unwrap_count,mut_unsafe_unwrap_count,gold_unsafe_count,mut_unwrap_unsafe_count,mut_unsafe_unsafe_count,mut_unwrap_mutation_count,mut_unsafe_mutation_count,test_regression_mut_unwrap,test_regression_mut_unsafe,policy_violation_mut_unwrap,policy_violation_mut_unsafe
aptos-labs__aptos-core-16152,aptos-labs/aptos-labs/aptos-core,16152,c6b7834fde045e3596c8890b0146ecd6ac20f55d,False,False,False,,,,,,,0,0,0,0,0,0,1,1,False,False,True,True
nushell__nushell-10381,nushell/nushell,10381,a9a82de5c48b23958ead9d011765396d29217630,False,False,False,True,False,False,False,False,False,0,84,0,0,0,83,91,86,False,False,True,True
nushell__nushell-10395,nushell/nushell,10395,d68c3ec89a8efa304246467f80140c59467ba94f,False,False,False,True,False,False,True,False,False,0,6,0,0,0,6,6,6,False,False,True,True
nushell__nushell-10405,nushell/nushell,10405,bc7736bc9965d2df2e406f0e4fe9f4fe0d8c29f7,False,False,False,True,True,False,False,False,False,0,6,0,0,0,6,6,6,False,False,True,True
nushell__nushell-10613,nushell/nushell,10613,afdb68dc7175b1c6b5f4ca8f6a20b55036cb2375,False,False,False,True,True,True,False,False,False,0,5,0,0,0,5,5,5,False,False,True,True
nushell__nushell-10629,nushell/nushell,10629,399319476aa4decd7cced93488180d96e56bad64,False,False,False,True,False,False,False,False,False,0,1,0,0,0,1,1,1,False,False,True,True
nushell__nushell-11169,nushell/nushell,11169,112306aab57c7e0d262bc0659fbfe79318d5bf46,False,False,False,True,True,True,False,False,False,0,4,0,0,0,4,4,4,False,False,True,True
nushell__nushell-11292,nushell/nushell,11292,ecb3b3a364b3332ac9df51dbecd780f1f73e21e8,False,False,False,True,True,True,False,False,False,0,1,0,0,0,1,1,1,False,False,True,True
nushell__nushell-11493,nushell/nushell,11493,6f59abaf4310487f7a6319437be6ec61abcbc3b9,False,False,False,True,False,False,False,False,False,0,1,0,0,0,1,1,1,False,False,True,True
nushell__nushell-11672,nushell/nushell,11672,86dd045554c6e73de96b6bd1fcc0f0d5a0f4054b,False,False,False,True,True,True,False,False,False,0,13,0,0,0,13,13,13,False,False,True,True
nushell__nushell-11948,nushell/nushell,11948,6e37ad0275cb23c5a8a933ba6a46a45d70f74910,False,False,False,True,True,True,False,False,False,0,1,0,0,0,1,1,1,False,False,True,True
nushell__nushell-12118,nushell/nushell,12118,f695ba408aec1b67cb51ed1aa1180721986b56d8,False,False,False,True,False,False,False,False,False,0,3,0,0,0,3,3,3,False,False,True,True
nushell__nushell-12901,nushell/nushell,12901,580c60bb821af25f838edafd8461bb206d3419f3,True,False,True,True,True,True,True,False,False,0,1,0,0,0,1,1,1,True,False,True,True
nushell__nushell-12950,nushell/nushell/nushell,12950,0c5a67f4e5bf17a2fffbe3cbb54792a6464b3237,True,True,True,True,False,True,True,True,True,2,3,2,0,0,1,1,1,False,False,True,True
nushell__nushell-13246,nushell/nushell/nushell,13246,46ed69ab126015375d5163972ae321715f34874b,True,False,True,True,True,True,True,False,False,0,2,0,0,0,1,2,1,True,False,True,True
nushell__nushell-13357,nushell/nushell,13357,5417c89387b67c3192ae9043473b556cd669ee15,True,False,False,True,False,False,True,False,False,1,53,1,0,0,47,52,47,True,True,True,True
nushell__nushell-13605,nushell/nushell/nushell,13605,48e401834d604563106a6ef3738a996d38c790ca,True,True,True,True,True,True,True,True,True,1,2,1,0,0,1,1,1,False,False,True,True
nushell__nushell-13831,nushell/nushell/nushell,13831,fb34a4fc6c9ca882cc6dc95d437902a45c402e9a,True,True,True,True,True,True,True,True,False,0,2,0,0,0,2,2,2,False,False,True,True
nushell__nushell-13870,nushell/nushell,13870,6e1e824473e15eba246e1c43704c5d88fa237a17,True,False,True,True,False,False,True,False,False,0,2,0,0,0,1,2,1,True,False,True,True
unicode-org__icu4x-6776,unicode-org/unicode-org/icu4x,6776,d4eb34d9a0f6f09dae603a397e13a102b3cb5510,False,False,False,True,True,True,True,False,False,0,3,0,0,0,3,3,3,False,False,True,True
uutils__coreutils-6377,uutils/uutils/coreutils,6377,e2aa2c74408d46da900cad4a0b764c8760a300ff,False,False,False,False,False,False,False,False,False,0,13,0,1,1,10,13,9,False,False,True,True
uutils__coreutils-6575,uutils/uutils/coreutils,6575,bc0b4880e000b881a1cabc733b2d261f3526d15e,False,False,False,False,False,False,False,False,False,2,4,2,0,0,2,2,2,False,False,True,True
uutils__coreutils-6682,uutils/uutils/coreutils,6682,b89a6255a9cb5ee09867707f395d02929273dc45,False,False,False,False,False,False,False,False,False,0,3,0,0,0,1,3,1,False,False,True,True
uutils__coreutils-6690,uutils/uutils/coreutils,6690,af86aee6b86a99736ca304ff656d0e4c6d547333,False,False,False,False,False,False,False,False,False,0,1,0,0,0,1,1,1,False,False,True,True
uutils__coreutils-6731,uutils/uutils/coreutils,6731,a4088475832957e070b8f904cd3a33a818d07d72,False,False,False,False,False,False,False,False,False,0,1,0,0,0,1,1,1,False,False,True,True
uutils__coreutils-8478,uutils/uutils/coreutils,8478,5ba99ae5643ea6e0f7d1410dab85000f79cbec3b,True,False,True,True,True,True,False,False,False,0,5,0,0,0,1,5,1,True,False,True,True
